2023-02-01 00:00:31,849 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-01-31 23:59:31, qcd: 2023-01-31 23:58:31, count:0
2023-02-01 00:01:31,648 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:00:31, qcd: 2023-01-31 23:59:31, count:0
2023-02-01 00:02:31,652 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:01:31, qcd: 2023-02-01 00:00:31, count:0
2023-02-01 00:03:31,671 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:02:31, qcd: 2023-02-01 00:01:31, count:0
2023-02-01 00:04:31,625 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:03:31, qcd: 2023-02-01 00:02:31, count:0
2023-02-01 00:05:31,685 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:04:31, qcd: 2023-02-01 00:03:31, count:0
2023-02-01 00:06:31,634 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:05:31, qcd: 2023-02-01 00:04:31, count:0
2023-02-01 00:07:31,650 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:06:31, qcd: 2023-02-01 00:05:31, count:0
2023-02-01 00:08:31,645 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:07:31, qcd: 2023-02-01 00:06:31, count:0
2023-02-01 00:09:31,639 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:08:31, qcd: 2023-02-01 00:07:31, count:0
2023-02-01 00:10:31,642 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:09:31, qcd: 2023-02-01 00:08:31, count:0
2023-02-01 00:11:31,638 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:10:31, qcd: 2023-02-01 00:09:31, count:0
2023-02-01 00:12:31,620 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:11:31, qcd: 2023-02-01 00:10:31, count:0
2023-02-01 00:13:31,636 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:12:31, qcd: 2023-02-01 00:11:31, count:0
2023-02-01 00:14:31,674 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:13:31, qcd: 2023-02-01 00:12:31, count:0
2023-02-01 00:15:31,718 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:14:31, qcd: 2023-02-01 00:13:31, count:0
2023-02-01 00:16:31,650 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:15:31, qcd: 2023-02-01 00:14:31, count:0
2023-02-01 00:17:31,642 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:16:31, qcd: 2023-02-01 00:15:31, count:0
2023-02-01 00:18:31,640 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:17:31, qcd: 2023-02-01 00:16:31, count:0
2023-02-01 00:19:31,636 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:18:31, qcd: 2023-02-01 00:17:31, count:0
2023-02-01 00:20:32,026 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:19:31, qcd: 2023-02-01 00:18:31, count:0
2023-02-01 00:21:31,692 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:20:31, qcd: 2023-02-01 00:19:31, count:0
2023-02-01 00:22:31,658 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:21:31, qcd: 2023-02-01 00:20:31, count:0
2023-02-01 00:23:31,892 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:22:31, qcd: 2023-02-01 00:21:31, count:0
2023-02-01 00:24:31,768 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:23:31, qcd: 2023-02-01 00:22:31, count:0
2023-02-01 00:25:31,664 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:24:31, qcd: 2023-02-01 00:23:31, count:0
2023-02-01 00:26:31,643 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:25:31, qcd: 2023-02-01 00:24:31, count:0
2023-02-01 00:27:31,869 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:26:31, qcd: 2023-02-01 00:25:31, count:0
2023-02-01 00:28:31,678 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:27:31, qcd: 2023-02-01 00:26:31, count:0
2023-02-01 00:29:31,639 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:28:31, qcd: 2023-02-01 00:27:31, count:0
2023-02-01 00:30:31,865 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:29:31, qcd: 2023-02-01 00:28:31, count:0
2023-02-01 00:31:31,629 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:30:31, qcd: 2023-02-01 00:29:31, count:0
2023-02-01 00:32:31,700 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:31:31, qcd: 2023-02-01 00:30:31, count:0
2023-02-01 00:33:31,606 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:32:31, qcd: 2023-02-01 00:31:31, count:0
2023-02-01 00:34:31,611 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:33:31, qcd: 2023-02-01 00:32:31, count:0
2023-02-01 00:35:31,682 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:34:31, qcd: 2023-02-01 00:33:31, count:0
2023-02-01 00:36:31,640 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:35:31, qcd: 2023-02-01 00:34:31, count:0
2023-02-01 00:37:31,616 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:36:31, qcd: 2023-02-01 00:35:31, count:0
2023-02-01 00:38:31,660 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:37:31, qcd: 2023-02-01 00:36:31, count:0
2023-02-01 00:39:31,637 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:38:31, qcd: 2023-02-01 00:37:31, count:0
2023-02-01 00:40:31,628 DEBUG ==> yd : 2023-01-31, td: 2023-02-01, cd: 2023-02-01 00:39:31, qcd: 2023-02-01 00:38:31, count:0
